country,capital_city,lat,lon
Afghanistan,Kabul,34.52813,69.17233
Albania,Tirana,41.3275,19.81889
Algeria,Algiers,36.7525,3.04197
Andorra,Andorra la Vella,42.50779,1.52109
Angola,Luanda,-8.83682,13.23432
Argentina,Buenos Aires,-34.61315,-58.37723
Armenia,Yerevan,40.18111,44.51361
Australia,Canberra,-35.28346,149.12807
Austria,Vienna,48.20639,16.35722
Azerbaijan,Baku,40.37767,49.89201
Bahamas,Nassau,25.03428,-77.39628
Bahrain,Manama,26.21536,50.5832
Bangladesh,Dhaka,23.7104,90.40744
Barbados,Bridgetown,13.10732,-59.62021
Belarus,Minsk,53.9,27.56667
Belgium,Brussels,50.85045,4.34878
Belize,Belmopan,17.25,-88.76667
Benin,Porto-Novo,6.49646,2.60359
Bhutan,Thimphu,27.46609,89.64191
Bolivia,Sucre,-19.03332,-65.26274
Bosnia and Herzegovina,Sarajevo,43.84864,18.35644
Botswana,Gaborone,-24.65451,25.90859
Brazil,Brasília,-15.77972,-47.92972
Brunei,Bandar Seri Begawan,4.94029,114.94806
Bulgaria,Sofia,42.69751,23.32415
Burkina Faso,Ouagadougou,12.36566,-1.53388
Burundi,Gitega,-3.4264,29.93083
Cabo Verde,Praia,14.93305,-23.51333
Cambodia,Phnom Penh,11.56245,104.91601
Cameroon,Yaoundé,3.86667,11.51667
Canada,Ottawa,45.41117,-75.69812
Central African Republic,Bangui,4.36122,18.55496
Chad,N'Djamena,12.10672,15.0444
Chile,Santiago,-33.45694,-70.64827
China,Beijing,39.9075,116.39723
Colombia,Bogotá,4.60971,-74.08175
Comoros,Moroni,-11.70216,43.25506
Congo,Brazzaville,-4.26613,15.28318
Costa Rica,San José,9.93333,-84.08333
Croatia,Zagreb,45.81444,15.97895
Cuba,Havana,23.13302,-82.38304
Cyprus,Nicosia,35.16667,33.36667
Czech Republic,Prague,50.08804,14.42076
Denmark,Copenhagen,55.67594,12.56553
Djibouti,Djibouti,11.58901,43.14503
Dominica,Roseau,15.30174,-61.38808
Dominican Republic,Santo Domingo,18.48605,-69.93121
East Timor,Dili,-8.55861,125.57361
Ecuador,Quito,-0.22985,-78.52495
Egypt,Cairo,30.06263,31.24967
El Salvador,San Salvador,13.68935,-89.18718
Equatorial Guinea,Malabo,3.75043,8.7371
Eritrea,Asmara,15.33805,38.93184
Estonia,Tallinn,59.437,24.75353
Eswatini,Mbabane,-26.31667,31.13333
Ethiopia,Addis Ababa,9.02497,38.74689
Fiji,Suva,-18.14161,178.44149
Finland,Helsinki,60.16952,24.93545
France,Paris,48.85341,2.3488
Gabon,Libreville,0.39241,9.45356
Gambia,Banjul,13.45274,-16.57803
Georgia,Tbilisi,41.69411,44.83368
Germany,Berlin,52.52437,13.41053
Ghana,Accra,5.55602,-0.1969
Greece,Athens,37.98376,23.72784
Grenada,St. George's,12.05644,-61.74849
Guatemala,Guatemala City,14.64072,-90.51327
Guinea,Conakry,9.53795,-13.67729
Guinea-Bissau,Bissau,11.86357,-15.59767
Guyana,Georgetown,6.80448,-58.15527
Haiti,Port-au-Prince,18.53917,-72.335
Honduras,Tegucigalpa,14.0818,-87.20681
Hungary,Budapest,47.49801,19.03991
Iceland,Reykjavík,64.13548,-21.89541
India,New Delhi,28.63576,77.22445
Indonesia,Jakarta,-6.21462,106.84513
Iran,Tehran,35.69439,51.42151
Iraq,Baghdad,33.34058,44.40088
Ireland,Dublin,53.33306,-6.24889
Israel,Jerusalem,31.76904,35.21633
Italy,Rome,41.89474,12.4699
Ivory Coast,Yamoussoukro,6.82055,-5.27674
Jamaica,Kingston,17.99702,-76.79358
Japan,Tokyo,35.6895,139.69171
Jordan,Amman,31.95522,35.94503
Kazakhstan,Nur-Sultan,51.16939,71.44908
Kenya,Nairobi,-1.29207,36.82195
Kiribati,South Tarawa,-1.32609,172.63636
Kuwait,Kuwait City,29.36972,47.97833
Kyrgyzstan,Bishkek,42.87,74.58789
Laos,Vientiane,17.96667,102.6
Latvia,Riga,56.946,24.10589
Lebanon,Beirut,33.88894,35.49442
Lesotho,Maseru,-29.31667,27.48333
Liberia,Monrovia,6.30054,-10.7969
Libya,Tripoli,32.87519,13.18746
Liechtenstein,Vaduz,47.14151,9.52154
Lithuania,Vilnius,54.68916,25.2798
Luxembourg,Luxembourg,49.61167,6.13
Madagascar,Antananarivo,-18.91368,47.53613
Malawi,Lilongwe,-13.96692,33.78725
Malaysia,Kuala Lumpur,3.1412,101.68653
Maldives,Malé,4.1748,73.50888
Mali,Bamako,12.65,-8
Malta,Valletta,35.89972,14.51472
Marshall Islands,Majuro,7.08971,171.38027
Mauritania,Nouakchott,18.08581,-15.9785
Mauritius,Port Louis,-20.16194,57.49889
Mexico,Mexico City,19.42847,-99.12766
Micronesia,Palikir,6.92477,158.16109
Moldova,Chisinau,47.01046,28.86381
Monaco,Monaco,43.73333,7.41667
Mongolia,Ulaanbaatar,47.90771,106.88324
Montenegro,Podgorica,42.44111,19.26361
Morocco,Rabat,34.01325,-6.83255
Mozambique,Maputo,-25.96553,32.58322
Myanmar,Naypyidaw,19.745,-96.12972
Namibia,Windhoek,-22.55972,17.08323
Nauru,Yaren,-0.54792,166.92109
Nepal,Kathmandu,27.70169,85.3206
Netherlands,Amsterdam,52.37403,4.88969
New Zealand,Wellington,-41.28664,174.77557
Nicaragua,Managua,12.13282,-86.2504
Niger,Niamey,13.51366,2.1098
Nigeria,Abuja,9.05785,7.49508
North Korea,Pyongyang,39.03385,125.75432
North Macedonia,Skopje,41.99806,21.42538
Norway,Oslo,59.91273,10.74609
Oman,Muscat,23.58413,58.40778
Pakistan,Islamabad,33.72148,73.04329
Palau,Ngerulmud,7.50043,134.62429
Panama,Panama City,8.9936,-79.51973
Papua New Guinea,Port Moresby,-9.47723,147.15089
Paraguay,Asunción,-25.30066,-57.63591
Peru,Lima,-12.04318,-77.02824
Philippines,Manila,14.6042,120.9822
Poland,Warsaw,52.22977,21.01178
Portugal,Lisbon,38.71667,-9.13333
Qatar,Doha,25.27932,51.52245
Republic of the Congo,Brazzaville,-4.26613,15.28318
Romania,Bucharest,44.43281,26.10428
Russia,Moscow,55.75583,37.6173
Rwanda,Kigali,-1.94995,30.05885
Saint Kitts and Nevis,Basseterre,17.29488,-62.72653
Saint Lucia,Castries,13.9957,-61.00614
Saint Vincent and the Grenadines,Kingstown,13.16038,-61.2248
Samoa,Apia,-13.83333,-171.75
San Marino,San Marino,43.93333,12.45
Sao Tome and Principe,São Tomé,0.33654,6.72732
Saudi Arabia,Riyadh,24.68773,46.72185
Senegal,Dakar,14.6937,-17.44406
Serbia,Belgrade,44.81861,20.46332
Seychelles,Victoria,-4.61667,55.45
Sierra Leone,Freetown,8.484,-13.22994
Singapore,Singapore,1.28967,103.85007
Slovakia,Bratislava,48.14816,17.10674
Slovenia,Ljubljana,46.05108,14.50513
Solomon Islands,Honiara,-9.43333,159.95
Somalia,Mogadishu,2.03711,45.34375
South Africa,Pretoria,-25.74486,28.18783
South Korea,Seoul,37.566,126.9784
South Sudan,Juba,4.85165,31.58247
Spain,Madrid,40.4165,-3.70256
Sri Lanka,Colombo,6.93194,79.84778
Sudan,Khartoum,15.55177,32.53241
Suriname,Paramaribo,5.86638,-55.16682
Sweden,Stockholm,59.33258,18.0649
Switzerland,Bern,46.94809,7.44744
Syria,Damascus,33.5102,36.29128
Taiwan,Taipei,25.04776,121.53185
Tajikistan,Dushanbe,38.53575,68.77905
Tanzania,Dodoma,-6.17221,35.73947
Thailand,Bangkok,13.75398,100.50144
Togo,Lomé,6.13194,1.22278
Tonga,Nuku'alofa,-21.13938,-175.2018
Trinidad and Tobago,Port of Spain,10.66668,-61.51889
Tunisia,Tunis,36.81897,10.16579
Turkey,Ankara,39.91987,32.85427
Turkmenistan,Ashgabat,37.95,58.38333
Tuvalu,Funafuti,-8.52425,179.19417
Uganda,Kampala,0.31628,32.58219
Ukraine,Kyiv,50.45466,30.5238
United Arab Emirates,Abu Dhabi,24.46667,54.36667
United Kingdom,London,51.50853,-0.12574
United States,Washington,38.89511,-77.03637
Uruguay,Montevideo,-34.90111,-56.21181
Uzbekistan,Tashkent,41.26465,69.21627
Vanuatu,Port Vila,-17.73381,168.32184
Vatican City,Vatican City,41.90291,12.45339
Venezuela,Caracas,10.48801,-66.87919
Vietnam,Hanoi,21.0245,105.84117
Yemen,Sana'a,15.35472,44.20667
Zambia,Lusaka,-15.40669,28.28713
Zimbabwe,Harare,-17.82772,31.05337
